Entry	Entry Name	Gene Names	Protein names	Gene Ontology IDs
P77365	YAFY_ECOLI	yafY b0251 JW0240	Lipoprotein YafY	GO:0005886
P77368	YBCL_ECOLI	ybcL b0545 JW0533	UPF0098 protein YbcL	GO:0030288
P77375	YDHX_ECOLI	ydhX b1671 JW5271	Uncharacterized ferredoxin-like protein YdhX	GO:0030288; GO:0042279; GO:0046872; GO:0051539
P77377	WZXC_ECOLI	wzxC wzx b2046 JW2031	Lipopolysaccharide biosynthesis protein WzxC	GO:0005886; GO:0009103; GO:0009242
P77390	CITC_ECOLI	citC ybeO b0618 JW0610	[Citrate [pro-3S]-lyase] ligase (EC 6.2.1.22) (Acetate:SH-citrate lyase ligase) (Citrate lyase synthetase)	GO:0005524; GO:0008771; GO:0016747
P77400	YBAT_ECOLI	ybaT b0486 JW0475	Inner membrane transport protein YbaT	GO:0005886; GO:0006865; GO:0009268; GO:0022857; GO:1990169
P77409	YDHU_ECOLI	ydhU b1670 JW1660	Putative cytochrome YdhU (Protein PhsC homolog)	GO:0005886; GO:0009055; GO:0020037; GO:0022904; GO:0046872
P77416	HYFD_ECOLI	hyfD b2484 JW2469	Hydrogenase-4 component D (EC 1.-.-.-)	GO:0005886; GO:0006007; GO:0008137; GO:0009061; GO:0009326; GO:0015944; GO:0015990; GO:0016020; GO:0016491; GO:0019645; GO:0042773
P77432	LSRK_ECOLI	lsrK ydeV b1511 JW1504	Autoinducer-2 kinase (AI-2 kinase) (EC 2.7.1.189)	GO:0005737; GO:0005975; GO:0009372; GO:0016301; GO:0044010; GO:0071518
P77437	HYFF_ECOLI	hyfF b2486 JW2471	Hydrogenase-4 component F (EC 1.-.-.-)	GO:0005886; GO:0006007; GO:0006974; GO:0009061; GO:0009326; GO:0015944; GO:0016020; GO:0016491; GO:0019645
P77445	EUTE_ECOLI	eutE yffX b2455 JW2439	Acetaldehyde dehydrogenase (acetylating) EutE (EC 1.2.1.10) (Ethanolamine utilization protein EutE)	GO:0004029; GO:0008774; GO:0031469; GO:0046336
P77463	DDPC_ECOLI	ddpC yddQ b1485 JW1480	Probable D,D-dipeptide transport system permease protein DdpC	GO:0005886; GO:0015031; GO:0016020; GO:0042938; GO:0055052; GO:0071916
P77468	SFMD_ECOLI	sfmD b0532 JW0521	Outer membrane usher protein SfmD	GO:0009279; GO:0009297; GO:0015473
P77473	PDEB_ECOLI	pdeB ylaB b0457 JW5062	Probable cyclic di-GMP phosphodiesterase PdeB (EC 3.1.4.52)	GO:0005886; GO:0071111; GO:1900190
P77494	HOKB_ECOLI	hokB ydcB b4428 JW5225	Toxic protein HokB	GO:0005886; GO:0022611
P77509	YPHE_ECOLI	yphE b2547 JW2531	Uncharacterized ABC transporter ATP-binding protein YphE	GO:0005524; GO:0005886; GO:0016020; GO:0016887; GO:0022857; GO:0043190; GO:0055052; GO:0055085
P77549	YFCJ_ECOLI	yfcJ b2322 JW2319	Uncharacterized MFS-type transporter YfcJ	GO:0005886; GO:0022857
P77561	YDEP_ECOLI	ydeP b1501 JW1495	Protein YdeP	GO:0008863; GO:0010447; GO:0016020; GO:0030151; GO:0051539
P77579	PTFC1_ECOLI	fryC ypdG b2386 JW2383	Fructose-like permease IIC component 1 (PTS system fructose-like EIIC component 1)	GO:0005886; GO:0008982; GO:0009401; GO:0090563
P77596	YAGF_ECOLI	yagF b0269 JW0262	D-xylonate dehydratase YagF (EC 4.2.1.82)	GO:0005829; GO:0016836; GO:0046176; GO:0050401
P77599	YFCS_ECOLI	yfcS b2336 JW2333	Probable fimbrial chaperone YfcS	GO:0030288; GO:0044183; GO:0071555
P77622	DDPF_ECOLI	ddpF yddO b1483 JW1478	Probable D,D-dipeptide transport ATP-binding protein DdpF	GO:0005524; GO:0005886; GO:0015031; GO:0015640; GO:0016020; GO:0016887; GO:0042938; GO:0055052
P77668	HYFI_ECOLI	hyfI b2489 JW5805	Hydrogenase-4 component I (EC 1.-.-.-)	GO:0008137; GO:0009326; GO:0015944; GO:0016491; GO:0019645; GO:0046872; GO:0048038; GO:0051539
P77672	LSRC_ECOLI	lsrC ydeY b1514 JW1507	Autoinducer 2 import system permease protein LsrC (AI-2 import system permease protein LsrC)	GO:0005886; GO:0009372; GO:0016020; GO:0022857; GO:0055052; GO:1905887
P77682	GTRA_ECOLI	yfdG b2350 JW2346	Prophage bactoprenol-linked glucose translocase homolog (Bactoprenol-linked glucose translocase homolog from prophage CPS-53)	GO:0000271; GO:0005886; GO:0006783; GO:0008883; GO:0050661
P77689	SUFD_ECOLI	sufD ynhC b1681 JW1671	Iron-sulfur cluster assembly protein SufD	GO:0006979; GO:0016226; GO:1990229
P77692	YKFI_ECOLI	ykfI b0245 JW0234	Toxin YkfI	GO:0030308
P77744	ABGR_ECOLI	abgR b1339 JW1333	HTH-type transcriptional regulator AbgR	GO:0000976; GO:0003700; GO:0006355
P77768	RPNB_ECOLI	rpnB yfcI b2305 JW2302	Recombination-promoting nuclease RpnB (EC 3.1.21.-)	GO:0006310; GO:1990238
P77795	YDCT_ECOLI	ydcT b1441 JW1436	Uncharacterized ABC transporter ATP-binding protein YdcT	GO:0005524; GO:0005886; GO:0015417; GO:0015847; GO:0016020; GO:0016887; GO:0055052; GO:0055085
P77804	YDGA_ECOLI	ydgA b1614 JW1606	Protein YdgA	GO:0005886; GO:0042802; GO:0042803; GO:0071978
P77858	HYFC_ECOLI	hyfC b2483 JW2468	Hydrogenase-4 component C (EC 1.-.-.-)	GO:0005886; GO:0006007; GO:0006974; GO:0009061; GO:0009326; GO:0015944; GO:0016020; GO:0016491; GO:0019645
P78067	YNJE_ECOLI	ynjE b1757 JW5287	Thiosulfate sulfurtransferase YnjE (EC 2.8.1.1)	GO:0004792; GO:0016783; GO:0042597
Q46798	YGER_ECOLI	ygeR b2865 JW2833	Uncharacterized lipoprotein YgeR	GO:0004222; GO:0005886; GO:0009279; GO:0032153; GO:0036460
Q46801	XDHC_ECOLI	xdhC ygeU b2868 JW2836	Putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC	GO:0002197; GO:0005737; GO:0006166; GO:0009114; GO:0016491; GO:0046872; GO:0051537
Q46802	UACR_ECOLI	uacR ygeV b2869 JW2837	Putative uric acid sigma-54-dependent transcriptional regulator UacR (Uric acid regulator)	GO:0000987; GO:0001216; GO:0005524; GO:0019628; GO:0032993; GO:0045893
Q46803	YGEW_ECOLI	ygeW b2870 JW5463	Putative carbamoyltransferase YgeW (EC 2.1.3.-) (UTCase)	GO:0004585; GO:0016597; GO:0019240; GO:0042450
Q46811	YGFK_ECOLI	ygfK b2878 JW5923	Putative oxidoreductase YgfK (Putative oxidoreductase Fe-S subunit)	GO:0005506; GO:0016491; GO:0051539
Q46814	XDHD_ECOLI	xdhD ygfN b2881 JW2849	Probable hypoxanthine oxidase XdhD (EC 1.-.-.-)	GO:0005506; GO:0006144; GO:0006166; GO:0016491; GO:0051537
Q46820	UACF_ECOLI	uacF ygfT b2887 JW5469	Putative oxidoreductase UacF (Uric acid degradation formate-related element)	GO:0016491; GO:0019628; GO:0046872; GO:0051539
Q46824	YGFX_ECOLI	ygfX cptA b2896 JW2864	Inner membrane protein YgfX (Toxin CptA)	GO:0005886; GO:0008360
Q46836	PPPA_ECOLI	pppA yghH b2972 JW2939	Prepilin peptidase PppA	GO:0004175; GO:0004190; GO:0005886; GO:0006465
Q46863	YGIS_ECOLI	ygiS b3020 JW2988	Probable deoxycholate-binding periplasmic protein YgiS	GO:0015721; GO:0015833; GO:0030288; GO:0043190; GO:1904680
Q46890	OTNC_ECOLI	otnC ygbL b2738 JW2708	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	GO:0005829; GO:0016832; GO:0019323; GO:0046872
Q46891	OTNI_ECOLI	otnI ygbM b2739 JW2709	2-oxo-tetronate isomerase (EC 5.3.1.35) (2-dehydrotetronate isomerase) (Glyoxylate-induced protein YgbM)	GO:0008903; GO:0046487; GO:0046872
Q46908	YGCR_ECOLI	ygcR b2770 JW5441	Putative electron transfer flavoprotein subunit YgcR	GO:0009055
Q46911	YGCU_ECOLI	ygcU ygcT ygcV b4463 JW5442	Uncharacterized FAD-linked oxidoreductase YgcU (EC 1.-.-.-)	GO:0004458; GO:0008609; GO:0008610; GO:0008720; GO:0050660; GO:0071949; GO:1903457
Q46915	GUDX_ECOLI	gudX ygcY b2788 JW2759	Glucarate dehydratase-related protein (GDH-RP) (GlucDRP) (EC 4.2.1.-)	GO:0008872; GO:0009063; GO:0042838; GO:0046872
Q46939	YQEF_ECOLI	yqeF b2844 JW5453	Probable acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)	GO:0003985; GO:0003988; GO:0005737; GO:0071271
Q46953	YPJF_ECOLI	ypjF b2646 JW2627	Toxin YpjF	
Q47005	NAC_ECOLI	nac b1988 JW1967	Nitrogen assimilation regulatory protein nac (Nitrogen assimilation control protein)	GO:0003677; GO:0003700; GO:0042128; GO:0045892; GO:0045893; GO:2000142
Q47013	ELAD_ECOLI	elaD b2269 JW5840	Protease ElaD (EC 3.4.22.-) (Deubiquitinase) (Deubiquitinating enzyme) (DUB) (Deubiquitinating protease)	GO:0006508; GO:0008234; GO:0016579; GO:0016926; GO:0016929
Q47083	CBL_ECOLI	cbl b1987 JW1966	HTH-type transcriptional regulator cbl	GO:0000976; GO:0003700; GO:0006355; GO:0019344; GO:0045883
Q47129	FEAR_ECOLI	feaR maoB maoR ydbM b1384 JW1379	Transcriptional activator FeaR	GO:0000987; GO:0003700; GO:0006355; GO:0045893
Q47142	HCAT_ECOLI	hcaT yfhS b2536 JW2520	Probable 3-phenylpropionic acid transporter	GO:0005886; GO:0015528; GO:0030395
Q47151	YAFL_ECOLI	yafL b0227 JW0217	Probable endopeptidase YafL (EC 3.4.-.-) (Uncharacterized lipoprotein YafL)	GO:0000270; GO:0004175; GO:0005886; GO:0006508; GO:0008234
Q47156	YAFN_ECOLI	yafN b0232 JW0222	Antitoxin YafN	GO:0003700; GO:0006281; GO:0006355; GO:0006974; GO:0009432; GO:0040008; GO:0043565; GO:0110001
Q47537	TAUA_ECOLI	tauA ssiA yaiR b0365 JW0357	Taurine-binding periplasmic protein (Sulfate starvation-induced protein 1) (SSI1)	GO:0009970; GO:0010438; GO:0015734; GO:0016020; GO:0022857; GO:0030288; GO:0055052
Q47539	TAUC_ECOLI	tauC ssiC yaiJ b0367 JW0359	Taurine transport system permease protein TauC	GO:0005886; GO:0010438; GO:0015734; GO:0016020; GO:0055052
Q47622	SAPA_ECOLI	sapA b1294 JW1287	Probable ABC transporter periplasmic-binding protein SapA	GO:0015833; GO:0016020; GO:0030288; GO:0055052; GO:1904680
Q47689	MMUP_ECOLI	mmuP ykfD b0260 JW5027	Probable S-methylmethionine permease	GO:0000100; GO:0003333; GO:0005886; GO:0009086; GO:0015171; GO:0015806; GO:0016020
Q47706	UIDC_ECOLI	uidC gusC b1615 JW1607	Membrane-associated protein UidC	GO:0006811; GO:0009279; GO:0015288; GO:0046930
Q57083	PERR_ECOLI	perR b0254 JW0244	HTH-type transcriptional regulator PerR (Peroxide resistance protein PerR)	GO:0003700; GO:0006351; GO:0042802; GO:0043565
Q6BEX0	YTFR_ECOLI	ytfR ytfS b4485 JW5752	Galactofuranose transporter ATP-binding protein YtfR (EC 7.5.2.9)	GO:0005524; GO:0005886; GO:0016887; GO:0022857; GO:0042626; GO:0055052; GO:0103116; GO:0140271
A0A385XJ53	INSA9_ECOLI	insA9 b4709	Insertion element IS1 9 protein InsA (IS1 repressor TnpA)	GO:0006313
A0A385XJE6	INH21_ECOLI	insH21 b4711	Transposase InsH for insertion sequence element IS5U	GO:0003677; GO:0004803; GO:0005829; GO:0006313
A0A385XJL4	INSB9_ECOLI	insB9 b4710	Insertion element IS1 9 protein InsB (IS1i)	GO:0003677; GO:0004803; GO:0006313
A5A605	YKFM_ECOLI	ykfM b4586	Uncharacterized protein YkfM	GO:0006974; GO:0016020; GO:0046677
A5A615	YNCL_ECOLI	yncL b4598 JW1439.1	Uncharacterized protein YncL	GO:0005886
A5A624	DINQ_ECOLI	dinQ b4613	Uncharacterized protein DinQ	GO:0005886; GO:0006974; GO:0016020
A5A628	YJBT_ECOLI	yjbT b4620	Uncharacterized protein YjbT	
A5A630	YTCA_ECOLI	ytcA b4622	Uncharacterized protein YtcA	GO:0005886
A8DYP9	LPFUR_ECOLI	uof b4637	fur leader peptide	GO:0006417
C1P5Z7	SGRT_ECOLI	sgrT b4662 JW0068.1	Putative inhibitor of glucose uptake transporter SgrT	GO:0004857; GO:0009401; GO:0046325
C1P5Z8	YKGR_ECOLI	ykgR b4671 JW5035.1	Uncharacterized membrane protein YkgR	GO:0005886
C1P601	RZOQ_ECOLI	rzoQ b4689 JW1545.1	Putative lipoprotein RzoQ	GO:0005886
C1P602	YOAK_ECOLI	yoaK b4676 JW5292.1	Uncharacterized membrane protein YoaK	GO:0005886
C1P603	YOAJ_ECOLI	yoaJ b4675 JW5292.2	Uncharacterized protein YoaJ	GO:0005886
C1P605	AZUC_ECOLI	azuC b4663 JW1891.1	Uncharacterized protein AzuC	GO:0005886; GO:0008047
C1P608	IBSB_ECOLI	ibsB b4668 JW2058.2	Small toxic protein IbsB	
C1P609	YOHP_ECOLI	yohP b4679 JW5358.1	Uncharacterized membrane protein YohP	GO:0005886
C1P610	YPDK_ECOLI	ypdK b4680 JW2375.1	Uncharacterized membrane protein YpdK	GO:0005886; GO:0016020
C1P611	SHOB_ECOLI	shoB ryfB yphI b4687 JW2546.1	Small toxic protein ShoB	GO:0012501; GO:0016020
E2JKY7	LPMG_ECOLI	mgtL b4702 JW4200.1	mgtA leader peptide (Regulatory leader peptide for mgtA)	GO:0031556; GO:0032026
G3MTW7	PMRR_ECOLI	pmrR b4703 JW4072.1	Putative membrane protein PmrR	GO:0004857; GO:0005886
P03061	LPIV_ECOLI	ivbL b3672 JW3647	ilv operon leader peptide (ilvBN operon attenuator peptide)	GO:0009099
P03835	INSG_ECOLI	insG b4278 JW5767	Transposase InsG for insertion sequence element IS4	GO:0003677; GO:0004803; GO:0006313
P03841	MALM_ECOLI	malM molA b4037 JW3997	Maltose operon periplasmic protein	GO:0008643; GO:0030288
P06965	DICC_ECOLI	dicC b1569 JW1561	Repressor protein of division inhibition gene dicB	GO:0003677; GO:0006355; GO:0051301
P07021	YFIB_ECOLI	yfiB b2605 JW2586	Putative lipoprotein YfiB	GO:0071973; GO:0120101
P08245	YCIH_ECOLI	yciH b1282 JW1274	Uncharacterized protein YciH	GO:0001731; GO:0002188; GO:0003743; GO:0006417; GO:0043024
P08369	CRED_ECOLI	creD cet b4400 JW4363	Inner membrane protein CreD	GO:0005886
P08371	PPDB_ECOLI	ppdB ygdC b2825 JW5451	Prepilin peptidase-dependent protein B	GO:0015628; GO:0016020
P08372	PPDC_ECOLI	ppdC ygdA b2823 JW2791	Prepilin peptidase-dependent protein C	GO:0016020
P08390	USG_ECOLI	usg b2319 JW2316	USG-1 protein	GO:0005829; GO:0008652; GO:0016620; GO:0046983; GO:0051287
P09127	HEMX_ECOLI	hemX b3803 JW3775	Protein HemX (ORF X)	GO:0005886
P09153	TFAE_ECOLI	tfaE ycfA b1156 JW1142	Prophage tail fiber assembly protein homolog TfaE (Tail fiber assembly protein homolog from lambdoid prophage e14)	
P09162	YJAA_ECOLI	yjaA b4011 JW3971	Uncharacterized protein YjaA	GO:0044011; GO:0070301; GO:0071468
P09557	DICB_ECOLI	dicB b1575 JW1566	Division inhibition protein DicB	GO:0051301; GO:0051302; GO:0051782
P0A772	NRDI_ECOLI	nrdI ygaO b2674 JW2649	Protein NrdI	GO:0010181
P0A7C8	PSIE_ECOLI	psiE yjbA b4030 JW3990	Protein PsiE	GO:0005886; GO:0016036
P0A8A0	YEBC_ECOLI	yebC b1864 JW1853	Probable transcriptional regulatory protein YebC	GO:0003677; GO:0005829; GO:0006355; GO:0010212
P0A8A2	YEEN_ECOLI	yeeN b1983 JW1964	Probable transcriptional regulatory protein YeeN	GO:0003677; GO:0005829; GO:0006355
P0A8C1	YBJQ_ECOLI	ybjQ b0866 JW0850	UPF0145 protein YbjQ	GO:0005886
P0A8C4	YGFB_ECOLI	ygfB b2909 JW5473	UPF0149 protein YgfB	GO:0005829
P0A8D3	YAII_ECOLI	yaiI b0387 JW0378	UPF0178 protein YaiI	
P0A8D9	YFBV_ECOLI	yfbV b2295 JW2292	UPF0208 membrane protein YfbV	GO:0005886; GO:2001251
P0A8E1	YCFP_ECOLI	ycfP b1108 JW5158	UPF0227 protein YcfP	GO:0005829; GO:0016788
P0A8J4	YBED_ECOLI	ybeD b0631 JW0626	UPF0250 protein YbeD	GO:0005829; GO:0034605
P0A8K8	YIHY_ECOLI	yihY b3886 JW3857	UPF0761 membrane protein YihY	GO:0005886
P0A8L7	YCIU_ECOLI	yciU b1248 JW1240	Putative double-stranded DNA mimic protein YciU	
P0A8R7	YCJF_ECOLI	ycjF b1322 JW1315	UPF0283 membrane protein YcjF	GO:0005886
P0A8T5	FLIE_ECOLI	fliE fla AI flaN b1937 JW1921	Flagellar hook-basal body complex protein FliE	GO:0003774; GO:0005198; GO:0006935; GO:0009288; GO:0009425; GO:0030694; GO:0044780; GO:0071973
P0A8U2	YAFD_ECOLI	yafD b0209 JW5017	UPF0294 protein YafD	GO:0003824; GO:0005737
P0A8W5	YQGE_ECOLI	yqgE b2948 JW2915	UPF0301 protein YqgE	GO:0005829; GO:0071236
P0A8W8	YFBU_ECOLI	yfbU b2294 JW2291	UPF0304 protein YfbU	GO:0005829; GO:0006974; GO:0042802
P0A8X2	YCEI_ECOLI	yceI b1056 JW1043	Protein YceI	GO:0005615; GO:0042597
P0A8X4	YCCT_ECOLI	yccT b0964 JW0947	UPF0319 protein YccT	GO:0030288
P0A8Z7	YQIA_ECOLI	yqiA yzzI b3031 JW2999	Esterase YqiA (EC 3.1.-.-)	GO:0005829; GO:0016788; GO:0052689
P0A905	SLYB_ECOLI	slyB b1641 JW1633	Outer membrane lipoprotein SlyB	GO:0009279
P0A976	CSPF_ECOLI	cspF b1558 JW1550	Cold shock-like protein CspF (CSP-F)	GO:0003676; GO:0003677; GO:0005829; GO:0010468
P0A978	CSPG_ECOLI	cspG cspI b0990 JW0974	Cold shock-like protein CspG (CPS-G)	GO:0003676; GO:0003677; GO:0005829; GO:0009409; GO:0010468
P0A982	CSPH_ECOLI	cspH cspK b0989 JW5134	Cold shock-like protein CspH (CSP-H)	GO:0003676; GO:0003677; GO:0005829; GO:0010468
P0A986	CSPI_ECOLI	cspI cspJ b1552 JW1544	Cold shock-like protein CspI (CPS-I)	GO:0003676; GO:0003677; GO:0005829; GO:0009409; GO:0010468
P0A9A2	FTNB_ECOLI	ftnB yecI b1902 JW1890	Bacterial non-heme ferritin-like protein	GO:0004322; GO:0005737; GO:0005829; GO:0008198; GO:0008199
P0A9K1	PHOH_ECOLI	phoH psiH b1020 JW1005	Protein PhoH (Phosphate starvation-inducible protein PsiH)	GO:0005524; GO:0005829
P0A9K3	PHOL_ECOLI	ybeZ b0660 JW0657	PhoH-like protein	GO:0005524; GO:0005829
P0A9R2	ESSD_ECOLI	essD ybcR b0554 JW0543	Prophage lysis protein S homolog EssD (Lysis protein S homolog from lambdoid prophage DLP12)	GO:0044659; GO:0140911
P0A9T6	YBAQ_ECOLI	ybaQ b0483 JW0472	Uncharacterized HTH-type transcriptional regulator YbaQ	GO:0003677; GO:0006355
P0A9T8	YBBA_ECOLI	ybbA b0495 JW0484	Uncharacterized ABC transporter ATP-binding protein YbbA	GO:0005524; GO:0016887
P0A9U8	YDIO_ECOLI	ydiO b1695 JW5275	Probable acyl-CoA dehydrogenase YdiO (EC 1.3.-.-)	GO:0003995; GO:0005737; GO:0033539; GO:0050660; GO:0071271
P0A9V5	YIAG_ECOLI	yiaG b3555 JW3524	Uncharacterized HTH-type transcriptional regulator YiaG	GO:0006355; GO:0043565
P0A9W9	YRDA_ECOLI	yrdA b3279 JW5710	Protein YrdA	GO:0005829; GO:0008270; GO:0032991; GO:0042802
P0AA31	YEDF_ECOLI	yedF b1930 JW1915	Putative sulfur carrier protein YedF	GO:0006974
P0AA49	YFDV_ECOLI	yfdV b2372 JW2369	Uncharacterized transporter YfdV	GO:0005886; GO:0055085
P0AA70	YEDA_ECOLI	yedA b1959 JW1942	Uncharacterized inner membrane transporter YedA	GO:0005886; GO:0009636
P0AA91	YEAY_ECOLI	yeaY b1806 JW1795	Uncharacterized lipoprotein YeaY	GO:0005886; GO:0019867
P0AAA1	YAGU_ECOLI	yagU b0287 JW0281	Inner membrane protein YagU	GO:0005886; GO:0010447
P0AAA3	ECPA_ECOLI	ecpA matB yagZ b0293 JW0287	Common pilus major fimbrillin subunit EcpA (MatB fimbrillin)	GO:0009289
P0AAA5	YMCE_ECOLI	ymcE sfa b0991 JW0975	Uncharacterized protein YmcE	GO:0005886
P0AAC4	YBHL_ECOLI	ybhL b0786 JW0769	Inner membrane protein YbhL	GO:0005262; GO:0005886; GO:0030162
P0AAE5	ARCD_ECOLI	ydgI b1605 JW1597	Putative arginine/ornithine antiporter	GO:0005886; GO:0043858
P0AAK4	HYDN_ECOLI	hydN b2713 JW2683	Electron transport protein HydN	GO:0009055; GO:0046872; GO:0051539
P0AAL6	YDHY_ECOLI	ydhY b1674 JW1664	Uncharacterized ferredoxin-like protein YdhY	GO:0046872; GO:0051539
P0AAN1	HYBE_ECOLI	hybE b2992 JW2960	Hydrogenase-2 operon protein HybE	GO:0051604; GO:0070678
P0AAP5	IPRA_ECOLI	iprA yaiV b0375 JW0366	Inhibitor of hydrogen peroxide resistance	GO:0006979
P0AAP7	YAIY_ECOLI	yaiY b0379 JW0370	Inner membrane protein YaiY	GO:0005886
P0AAQ0	YAIZ_ECOLI	yaiZ b0380 JW5053	Uncharacterized protein YaiZ	GO:0005886
P0AAQ2	YAJD_ECOLI	yajD b0410 JW0400	Putative HNH nuclease YajD (EC 3.1.-.-)	GO:0003676; GO:0004519; GO:0005829; GO:0008270; GO:0016787
P0AAR5	YBAN_ECOLI	ybaN b0468 JW0457	Inner membrane protein YbaN	GO:0005886
P0AAR8	YBAV_ECOLI	ybaV b0442 JW0432	Uncharacterized protein YbaV	GO:0003677; GO:0006281; GO:0015627; GO:0015628; GO:0030288
P0AAS0	YLAC_ECOLI	ylaC b0458 JW5063	Inner membrane protein YlaC	GO:0005886; GO:0097533
P0AAS3	YBBJ_ECOLI	ybbJ b0488 JW5065	Inner membrane protein YbbJ	GO:0005886
P0AAU7	YBFE_ECOLI	ybfE b0685 JW5816	Uncharacterized protein YbfE	GO:0006355; GO:0006974
P0AAV0	YBGE_ECOLI	ybgE b0735 JW0725	Uncharacterized protein YbgE	
P0AAW5	YBHQ_ECOLI	ybhQ b0791 JW0774	Inner membrane protein YbhQ	GO:0005886
P0AAX3	YBIJ_ECOLI	ybiJ b0802 JW0787	Uncharacterized protein YbiJ	GO:0006950; GO:0006974; GO:0042597; GO:0071468
P0AAY1	BSSR_ECOLI	bssR yliH b0836 JW0820	Biofilm regulator BssR	GO:0010468; GO:1900190
P0AAZ0	YBJO_ECOLI	ybjO b0858 JW0842	Inner membrane protein YbjO	GO:0005886
P0AAZ7	YCAR_ECOLI	ycaR b0917 JW0900	Methyltransferase activator Trm112 homolog	GO:0005829
P0AB12	YCCF_ECOLI	yccF b0961 JW0944	Inner membrane protein YccF	GO:0005886
P0AB14	YCCJ_ECOLI	yccJ b1003 JW0988	Uncharacterized protein YccJ	GO:0005829
P0AB26	YCEB_ECOLI	yceB b1063 JW1050	Uncharacterized lipoprotein YceB	GO:0005886
P0AB35	YCFJ_ECOLI	ycfJ b1110 JW1096	Uncharacterized protein YcfJ	GO:0019867; GO:0070301; GO:0071361; GO:0071468; GO:1900190
P0AB49	YCHH_ECOLI	ychH b1205 JW1196	Uncharacterized protein YchH	GO:0044011; GO:0070301; GO:0071276
P0AB52	YCHN_ECOLI	ychN b1219 JW1210	Protein YchN	GO:0005829; GO:0032991; GO:0042802
P0AB55	YCII_ECOLI	yciI b1251 JW1243	Protein YciI	GO:0005829
P0ABR1	DINI_ECOLI	dinI b1061 JW1048	DNA damage-inducible protein I	GO:0006281; GO:0009432; GO:0019899
P0ABY2	FLIT_ECOLI	fliT b1926 JW1911	Flagellar protein FliT	GO:0005829; GO:0006457; GO:0044781; GO:0071973; GO:1902209
P0ABY4	FLAW_ECOLI	fldB b2895 JW2863	Flavodoxin 2	GO:0009055; GO:0010181
P0AC73	EBGC_ECOLI	ebgC b3077 JW3048	Evolved beta-galactosidase subunit beta	GO:0005829; GO:0044010
P0ACG6	HOKD_ECOLI	hokD relF b1562 JW1554	Toxic protein HokD (Protein RelF)	GO:0005886; GO:0016020
P0ACH1	SFSB_ECOLI	sfsB nlp sfs7 b3188 JW3155	Sugar fermentation stimulation protein B (Ner-like protein)	GO:0003677
P0ACI3	XYLR_ECOLI	xylR b3569 JW3541	Xylose operon regulatory protein	GO:0000976; GO:0003700; GO:0006355
P0ACM2	RSPR_ECOLI	rspR ydfH b1540 JW1533	HTH-type transcriptional repressor RspR	GO:0000987; GO:0003677; GO:0003700; GO:0006355
P0ACM9	YIHL_ECOLI	yihL b3872 JW3843	Uncharacterized HTH-type transcriptional regulator YihL	GO:0003677; GO:0003700; GO:0045892
P0ACN2	YTFH_ECOLI	ytfH b4212 JW5747	Uncharacterized HTH-type transcriptional regulator YtfH	GO:0003677; GO:0003700; GO:0006355; GO:0032993
P0ACR7	YFER_ECOLI	yfeR b2409 JW2400	Uncharacterized HTH-type transcriptional regulator YfeR	GO:0003700; GO:0005829; GO:0006355; GO:0043565
P0ACU7	YJDC_ECOLI	yjdC cutA3 b4135 JW5733	HTH-type transcriptional regulator YjdC	GO:0003677; GO:0045892
P0ACX0	YDGC_ECOLI	ydgC b1607 JW1599	Inner membrane protein YdgC	GO:0005886
P0ACX9	YDIE_ECOLI	ydiE b1705 JW1695	Uncharacterized protein YdiE	GO:0042803
P0ACY6	YEAL_ECOLI	yeaL b1789 JW1778	UPF0756 membrane protein YeaL	GO:0005886
P0ACY9	YEBG_ECOLI	yebG b1848 JW1837	DNA damage-inducible protein YebG	GO:0005829; GO:0006281; GO:0009432; GO:0010165
P0AD12	YEEZ_ECOLI	yeeZ b2016 JW1998	Protein YeeZ	GO:0004029; GO:0005524; GO:0005737; GO:0005829
P0AD17	YOHC_ECOLI	yohC b2135 JW5356	Inner membrane protein YohC	GO:0005886; GO:0006974
P0AD19	YOHK_ECOLI	yohK b2142 JW2130	Inner membrane protein YohK	GO:0005886
P0AD24	YEJL_ECOLI	yejL b2187 JW2175	UPF0352 protein YejL	GO:0005829
P0AD30	YFCA_ECOLI	yfcA b2327 JW2324	Probable membrane transporter protein YfcA	GO:0005886; GO:0009408
P0AD35	YFDO_ECOLI	yfdO oweS b2358 JW2355	Protein YfdO	GO:0006979
P0AD44	YFHG_ECOLI	yfhG b2555 JW2539	Uncharacterized protein YfhG	GO:0030288; GO:0070297
P0AD47	YPHA_ECOLI	yphA b2543 JW2527	Inner membrane protein YphA	GO:0005886
P0AD72	LPF_ECOLI	pheL pheAE b2598 JW2579	phe operon leader peptide (phe operon attenuator peptide)	
P0AD79	LPL_ECOLI	leuL leuLP b0075 JW0074	leu operon leader peptide (leu operon attenuator peptide)	GO:0009098
P0AD83	LPPY_ECOLI	pyrL b4246 JW4205	pyr operon leader peptide (pyrBI operon attenuator)	GO:0006221; GO:0019856; GO:0031555
P0AD86	LPT_ECOLI	thrL b0001 JW4367	thr operon leader peptide (thr operon attenuator)	GO:0009088; GO:0031555; GO:0031556
P0AD92	LPW_ECOLI	trpL trpEE b1265 JW1257	trp operon leader peptide	GO:0000162; GO:0090357
